X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-8569449.04279476,4708038.32045243,119968,Ward 5,"1122 Bladensburg Road Northeast, Washington, District of Columbia 20002",1122-1124 Bladensburg Rd NE,Completed 2015 to Date,DHCD,4,38.90477812,-76.98063687,0,1,3,0,0,,73518,401676.8,137432.93,1122 BLADENSBURG ROAD NE,2024/09/23 09:00:26+00
-8570638.46393051,4704845.13948488,120961,Ward 6,"1101 Pennsylvania Avenue Southeast, Washington, District of Columbia 20003",Penn 11,Completed 2015 to Date,DHCD,3,38.882384,-76.991329,0,2,0,1,0,,74406,400750.26,134954.45,1101 PENNSYLVANIA AVENUE SE,2024/09/23 09:00:26+00
-8568990.56471023,4703461.05370558,120962,Ward 8,"1928 Naylor Road Southeast, Washington, District of Columbia 20020",MEDES,Completed 2015 to Date,DHCD,3,38.87275917,-76.97663885,0,0,3,0,0,,53759,402034.95,133880.2,1928 NAYLOR ROAD SE,2024/09/23 09:00:26+00
-8570111.98222666,4704872.10298036,120963,Ward 6,"1339 E Street Southeast, Washington, District of Columbia 20003",Lockwood Apartments,Completed 2015 to Date,DHCD OP,13,38.882642,-76.986649,0,8,0,5,0,15-33,289426,401160.61,134975.43,1339 E STREET SE,2024/09/23 09:00:26+00
-8573605.12946023,4709245.48717863,120964,Ward 6,"1720 New Jersey Avenue Northwest, Washington, District of Columbia 20001",The Hoxton,Completed 2015 to Date,DHCD,1,38.913194,-77.01796,0,1,0,0,0,,218457,398438.64,138369.63,1720 NEW JERSEY AVENUE NW,2024/09/23 09:00:26+00
-8571228.97256255,4697193.61964706,120965,Ward 8,"4201 7th Street Southeast, Washington, District of Columbia 20032",Belmont Crossing,Completed 2015 to Date,DHCD,275,38.82890029,-76.99665762,0,0,275,0,0,,149585,400290.22,129012.68,4201 7TH STREET SE,2024/09/23 09:00:26+00
-8571323.65467603,4711235.06640655,120966,Ward 5,"617 Hamlin Street Northeast, Washington, District of Columbia 20017",Brookland Place Apartments,Completed 2015 to Date,DHCD,80,38.92709548,-76.99750816,15,0,65,0,0,,4114,400216.07,139913.09,617 HAMLIN STREET NE,2024/09/23 09:00:26+00
-8573246.41333608,4707560.16191098,120967,Ward 6,"881 3rd St NW, Washington, District of Columbia 20001",Liberty Place Apartments,Completed 2015 to Date,DMPED DHCD,71,38.90140877,-77.01478059,14,53,4,0,0,,331865,398717.9,137061.79,881 3RD STREET NW,2024/09/23 09:00:26+00
-8575218.52339757,4715609.67465231,120968,Ward 4,"5610 Colorado Avenue Northwest, Washington, District of Columbia 20011",5610 Colorado,Pipeline,DHCD,34,38.95766043,-77.03249635,2,32,0,0,0,,257901,397183.42,143306.57,5610 COLORADO AVENUE NW,2024/09/23 09:00:26+00
-8564334.38898095,4704960.33524592,120969,Ward 7,"4701 Benning Road Southeast, Washington, District of Columbia 20019",BEN-E Cooperative,Completed 2015 to Date,DHCD,29,38.88323155,-76.93472254,3,25,1,0,0,,18411,405663.75,135045.86,4701 BENNING ROAD SE,2024/09/23 09:00:26+00
