X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.00938343,38.91025539,89281,Ward 6,"1520 North Capitol Street Northwest, Washington, District of Columbia 20002",Cycle House,Under Construction,DMPED DHCD,18,38.9102476,-77.00938115,2,4,12,0,0,,331764,399186.36,138042.91,1520 NORTH CAPITOL STREET NW,2024/02/05 05:00:27+00
-77.00943608,38.90640315,89282,Ward 6,"1200 North Capitol Street Northwest, Washington, District of Columbia 20002",Tyler House Apartments,Completed 2015 to Date,DCHFA,284,38.90639569,-77.00943379,0,0,284,0,0,,237128,399181.75,137615.28,1200 NORTH CAPITOL STREET NW,2024/02/05 05:00:27+00
-77.03006108,38.96251923,89283,Ward 4,"5922 13th Street Northwest, Washington, District of Columbia 20011",Valencia Apartments,Completed 2015 to Date,DHCD,29,38.96251143,-77.03005878,0,0,29,0,0,,243483,397394.87,143845.04,5922 13TH STREET NW,2024/02/05 05:00:27+00
-76.95086814,38.92233183,89284,Ward 5,"3814 Fort Lincoln Drive Northeast, Washington, District of Columbia 20018",Villages at Dakota Crossing Phase III,Completed 2015 to Date,DMPED,24,38.92233336,-76.95083508,0,0,0,24,0,,310077,404260.75,139384.6,3814 FORT LINCOLN DRIVE NE,2024/02/05 05:00:27+00
-77.03305578,38.96735657,89285,Ward 4,"1388 Tuckerman Street Northwest, Washington, District of Columbia 20011",Vizcaya Apartments,Completed 2015 to Date,DHCD,17,38.9673491,-77.03305349,0,0,17,0,0,,257527,397135.52,144382.12,1388 TUCKERMAN STREET NW,2024/02/05 05:00:27+00
-77.05055386,38.90501242,89286,Ward 2,"2300 M St NW, Washington, District of Columbia 20037",West End Parcels (Square 50 - West End Affordable),Completed 2015 to Date,DMPED DCHA DCHFA DHCD OP,55,38.90500497,-77.05055156,3,0,52,0,0,12-Nov,243314,395615.27,137462.07,2300 M STREET NW,2024/02/05 05:00:27+00
-77.02299806,38.92974005,89287,Ward 1,"660 Kenyon Street Northwest, Washington, District of Columbia 20010",Kenyon House Family Tenants Association,Completed 2015 to Date,DHCD,8,38.92973259,-77.02299576,0,7,0,1,0,,298206,398006.09,140206.08,660 KENYON STREET NW,2024/02/05 05:00:27+00
-77.02511537,38.90444701,89288,Ward 2,"915 L Street Northwest, Washington, District of Columbia 20001",Square 369,Completed 2015 to Date,OP,23,38.90443922,-77.02511308,0,0,19,4,0,14-09,315500,397821.73,137398.39,915 L STREET NW,2024/02/05 05:00:27+00
-76.98480862,38.91555168,89289,Ward 5,"1401 New York Ave NE, Washington, District of Columbia 20002",Hecht's Warehouse District,Completed 2015 to Date,DMPED DHCD OP,37,38.91554389,-76.98480634,0,10,10,17,0,14-01 and        14-01A,286132,401317.67,138630.91,1401 NEW YORK AVENUE NE,2024/02/05 05:00:27+00
-76.9971287,38.85855274,89290,Ward 8,"2704 Wade Road Southeast, Washington, District of Columbia 20020",Parkchester Apartments,Completed 2015 to Date,DHCD,94,38.85854529,-76.99712642,94,0,0,0,0,,278231,400249.41,132303.48,2704 WADE ROAD SE,2024/02/05 05:00:27+00
