FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1,Baltimore City,Wolfe Street Academy #023,245 South Wolfe Street,Baltimore,21231,Charter,Grades: PK - 5,Charter,78720bda-ed5a-42a1-aa4c-91e9a87801ba,1428424.05950592,590736.024160087
2,Baltimore City,Monarch Academy Public Charter School #381,2525 Kirk Avenue,Baltimore,21218,Charter,Grades: K - 8,Charter,494af5a1-5edd-4e99-ba26-6ca2558c94c4,1425440.648478,601957.109001338
3,Baltimore City,Furman Templeton Preparatory Academy #125,1200 North Pennsylvania Avenue,Baltimore,21217,Charter,Grades: PK - 5,Charter,238ce3b7-346b-41a8-a0e0-cfc00df90e77,1416929.00539634,594953.418940499
4,Baltimore City,Hampstead Hill Academy #047,500 South Linwood Avenue,Baltimore,21224,Charter,Grades: PK - 8,Charter,e99610c6-bfa2-42da-818c-bcf2fd73348f,1432264.9005775,589972.187761262
5,Baltimore City,Rosemont Elementary/Middle School #063,2777 Presstman Street,Baltimore,21216,Charter,Grades: PK - 8,Charter,8e90f1ed-64d3-4e88-abc1-663d0248f431,1407660.21586309,596654.971967846
6,Baltimore City,City Springs Elementary/Middle School #008,100 South Caroline Street,Baltimore,21231,Charter,Grades: PK - 8,Charter,65810092-4b33-4e13-8fe9-54dfcd694831,1426315.57028459,591494.491803259
7,Anne Arundel,Monarch Academy,6730 Baymeadow Drive,Glen Burnie,21061,Charter,Grades: K - 8,Charter,5df2482c-add5-42a0-8638-39ffcdbbabeb,1426786.10969783,554158.792524666
8,Anne Arundel,Chesapeake Science Point Public Charter School,7321 Parkway South Drive,Hanover,21076,Charter,Grades: 6 - 12,Charter,5ab7fead-6066-4de2-8c3d-f0d3fe38ac7a,1387548.41127051,546872.005917177
9,Prince George's,Imagine Foundations at Morningside Public Charter School,6900 Ames Street,Morningside,20746,Charter,Grades: K - 5,Charter,8ea0e550-1aa2-461b-be25-64eea064344d,1344783.636564,423406.244647086
10,Frederick,Monocacy Valley Montessori School,217 Dill Avenue,Frederick,21701,Charter,Grades: PK - 8,Charter,6c124a63-9586-4e16-b7de-45b4919d6e62,1195365.10797384,638684.857068002
11,Baltimore City,Southwest Baltimore Charter School #328,1300 Herkimer Street,Baltimore,21223,Charter,Grades: K - 8,Charter,4059ba61-81e7-4ece-b848-89ab30b41bd5,1414669.65591243,588389.450769261
12,Baltimore City,Green Street Academy #377,201 North Bend Road,Baltimore,21229,Charter,Grades: 6 - 12,Charter,e3013dac-bc57-4004-9614-e7dac9228848,1395083.13504617,589197.606305167
13,Baltimore City,ConneXions: A Community Based Arts School #325,2801 North Dukeland Street,Baltimore,21216,Charter,Grades: 6 - 12,Charter,af381b3b-97c0-4c5d-be7d-d34ff5313497,1407307.39110942,601541.989096671
14,Baltimore City,City Neighbors Hamilton School #346,5609 Sefton Avenue,Baltimore,21214,Charter,Grades: K - 8,Charter,1bc412ef-e8f6-4f2d-a7ba-ed93112cfa85,1407899.54412459,594090.386545837
15,Baltimore City,K.I.P.P. Harmony Academy #347,4701 Greenspring Avenue,Baltimore,21209,Charter,Grades: K - 8,Charter,d7dfae5b-d5eb-4eb1-9b60-40f37efcef76,1409045.95259292,611637.97579442
16,Baltimore City,City Neighbors High School #376,5609 Sefton Avenue,Baltimore,21214,Charter,Grades: 9 - 12,Charter,e547ef19-5b6e-4eb4-a687-c59474911d83,1407899.54412459,594090.386545837
17,Baltimore City,Inner Harbor East Academy #329,200 North Central Avenue,Baltimore,21202,Charter,Grades: PK - 8,Charter,7038a5ef-f104-4551-89ae-6303380c2cc1,1425508.85962768,592897.43978475
18,Baltimore City,Tunbridge Public Charter School #373,5504 York Road,Baltimore,21212,Charter,Grades: PK - 8,Charter,8c18ae2c-e4a9-426a-99e6-93d98c51040b,1422464.40508667,616053.017161176
19,Baltimore City,Northwood Appold Community Academy #330,4417 Loch Raven Boulevard,Baltimore,21218,Charter,Grades: K - 5,Charter,0ef7df91-fce4-4ad7-b393-14ac0920f4a8,1427769.52439767,611712.301761255
20,Baltimore City,Afya Public Charter School #337,2800 Brendan Avenue,Baltimore,21213,Charter,Grades: 6 - 8,Charter,bdf793e4-d44f-4245-bab5-1a800695afd7,1433312.58811468,603991.044566005
21,Baltimore City,Baltimore International Academy #335,4410 Frankford Avenue,Baltimore,21206,Charter,Grades: K - 8,Charter,0e2b494d-4215-42e2-8bc0-3ac64e64dded,1439962.387151,608305.438168168
22,Baltimore City,Baltimore Leadership School for Young Women #348,128 West Franklin Street,Baltimore,21201,Charter,Grades: 6 - 12,Charter,7feb31aa-b21e-4789-9621-fdbfffe42422,1420436.02430092,593312.393351167
