OBJECTID_1,COUNTY,TRACT,Shape_Length,Shape_Area
1,029,950300,47165.0327530699,36015891.2785214
2,011,955600,81059.131722763,146313336.868405
3,011,955000,58170.9075610882,154627546.313718
4,011,955302,21462.3202076379,11348521.6000091
5,510,151000,7471.07289010073,2484740.03005642
6,510,080500,3454.2384865449,584132.904183742
7,510,150500,5446.55305998207,1604995.07489917
8,510,090900,4290.94742560543,1149614.08538988
9,510,280301,12276.2735407184,5412981.59615395
10,510,100100,4011.32831112801,759011.808292215
11,510,120700,8025.92642369638,1747325.6319074
12,510,110200,5013.37407223299,1212127.72503035
13,510,280404,5378.48800668057,1422285.29701886
14,510,090800,4893.09890025109,1413415.15792213
15,510,090300,5098.85962362987,1329666.56223611
16,510,120400,2742.80703219013,461768.614910354
17,510,271001,3922.87959195145,843383.987246183
18,510,130200,3926.16646999669,585896.460433874
19,510,140100,4243.56916600951,957510.854258929
20,510,130100,3396.01054602669,506538.547003479
21,510,280200,8600.52469388509,4042125.19694564
22,510,280302,7272.22201903065,1620585.23324249
23,510,150800,6580.50975443981,1824329.21043644
24,510,170100,3193.81134928794,468488.079338528
25,510,170200,3851.01134367666,826092.235935059
26,510,090600,3604.5869031183,668597.395037377
27,510,120500,4456.19332832732,881160.161715722
28,510,130300,3746.62663182147,599362.639910798
29,510,120600,4475.97209843083,842861.024099041
30,510,100200,3036.32144651854,509830.160649328
31,510,150400,5212.04412254281,1364262.44382159
32,510,261000,4027.93599676064,518316.872868282
33,510,250303,5807.49088727826,1732508.82791507
34,510,260303,7208.15667330418,2036398.4313188
35,510,200701,6269.46328399018,2014100.8527029
36,510,070200,3201.01480088437,520278.860733165
37,510,151200,4686.4863668723,1300894.47440327
38,510,200400,4139.88504960843,648377.130574869
39,510,200500,4855.14184271028,1121413.79800557
40,510,260301,4263.22360843095,1016055.94770738
41,510,200600,8365.21430952321,3010916.40537467
42,510,130806,7862.66536924238,2347926.70994992
43,510,270702,7032.32172246603,1423963.85638708
44,510,180200,2582.54332283948,392375.123615889
45,510,190100,3199.19750029405,640494.906316941
46,510,200200,5798.30355884284,1551794.50950296
47,510,150702,3781.12555336819,654920.101297017
48,510,190200,3568.6195407811,471473.475787177
49,510,180300,3186.052670882,484017.133816012
50,510,180100,3014.46838110057,571099.703149129
51,510,150100,3297.68183553788,617716.985415065
52,510,200300,3028.1934798489,398908.863550677
53,510,200100,2720.91392074568,443233.470620508
54,510,090700,3699.46014509752,731498.100208354
55,510,190300,4548.50230486698,628350.811837609
56,510,090400,3158.00904340706,589630.054206855
57,510,200702,3098.8046910246,481661.663277837
58,001,000500,40025.0489381505,19358557.938582
