geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US24001000100,"Census Tract 1, Allegany, MD",1452,179,1145,173,307,113
14000US24001000200,"Census Tract 2, Allegany, MD",1352,199,1189,219,163,80
14000US24001000500,"Census Tract 5, Allegany, MD",827,125,495,106,332,108
14000US24001000600,"Census Tract 6, Allegany, MD",1305,172,896,163,409,133
14000US24001000700,"Census Tract 7, Allegany, MD",1448,178,625,149,823,182
14000US24001000800,"Census Tract 8, Allegany, MD",825,99,435,83,390,87
14000US24001001000,"Census Tract 10, Allegany, MD",1023,140,435,115,588,151
14000US24001001100,"Census Tract 11, Allegany, MD",681,96,192,60,489,92
14000US24001001200,"Census Tract 12, Allegany, MD",1290,169,1129,174,161,67
14000US24001001300,"Census Tract 13, Allegany, MD",1007,122,715,121,292,95
14000US24001001401,"Census Tract 14.01, Allegany, MD",1624,168,1473,159,151,53
14000US24001001402,"Census Tract 14.02, Allegany, MD",713,125,563,131,150,58
14000US24001001502,"Census Tract 15.02, Allegany, MD",842,118,636,97,206,94
14000US24001001503,"Census Tract 15.03, Allegany, MD",685,109,524,115,161,57
14000US24001001600,"Census Tract 16, Allegany, MD",616,107,454,86,162,71
14000US24001001700,"Census Tract 17, Allegany, MD",1699,183,990,196,709,200
14000US24001001800,"Census Tract 18, Allegany, MD",1351,171,609,130,742,140
14000US24001001900,"Census Tract 19, Allegany, MD",1153,135,998,142,155,63
14000US24001002000,"Census Tract 20, Allegany, MD",2429,283,1871,271,558,255
14000US24001002100,"Census Tract 21, Allegany, MD",1153,155,879,107,274,108
14000US24001002200,"Census Tract 22, Allegany, MD",1468,158,1197,152,271,92
14000US24001002300,"Census Tract 23, Allegany, MD",2493,271,1844,277,649,176
14000US24003701101,"Census Tract 7011.01, Anne Arundel, MD",1513,205,1398,204,115,64
14000US24003701103,"Census Tract 7011.03, Anne Arundel, MD",1485,277,1230,324,255,122
14000US24003701104,"Census Tract 7011.04, Anne Arundel, MD",1367,125,1205,152,162,92
14000US24003701201,"Census Tract 7012.01, Anne Arundel, MD",1389,168,1257,188,132,97
14000US24003701202,"Census Tract 7012.02, Anne Arundel, MD",1606,253,1431,271,175,92
14000US24003701301,"Census Tract 7013.01, Anne Arundel, MD",1366,158,1306,146,60,48
14000US24003701302,"Census Tract 7013.02, Anne Arundel, MD",1377,172,1232,189,145,87
14000US24003701400,"Census Tract 7014, Anne Arundel, MD",1296,242,1189,244,107,69
14000US24003702100,"Census Tract 7021, Anne Arundel, MD",2526,206,2232,198,294,154
14000US24003702204,"Census Tract 7022.04, Anne Arundel, MD",1594,201,1383,170,211,112
14000US24003702205,"Census Tract 7022.05, Anne Arundel, MD",2409,154,1746,223,663,206
14000US24003702206,"Census Tract 7022.06, Anne Arundel, MD",2504,277,2180,307,324,146
14000US24003702208,"Census Tract 7022.08, Anne Arundel, MD",2887,274,2305,317,582,170
14000US24003702209,"Census Tract 7022.09, Anne Arundel, MD",1318,108,1152,116,166,90
14000US24003702300,"Census Tract 7023, Anne Arundel, MD",2056,300,1987,301,69,47
14000US24003702402,"Census Tract 7024.02, Anne Arundel, MD",3997,301,2129,331,1868,282
14000US24003702500,"Census Tract 7025, Anne Arundel, MD",2529,288,1558,278,971,248
14000US24003702601,"Census Tract 7026.01, Anne Arundel, MD",2139,341,1871,352,268,142
14000US24003702602,"Census Tract 7026.02, Anne Arundel, MD",2432,320,2224,342,208,107
14000US24003702702,"Census Tract 7027.02, Anne Arundel, MD",1526,166,1336,174,190,89
14000US24003702703,"Census Tract 7027.03, Anne Arundel, MD",1390,444,1056,467,334,100
14000US24003702704,"Census Tract 7027.04, Anne Arundel, MD",1419,200,253,105,1166,206
14000US24003706102,"Census Tract 7061.02, Anne Arundel, MD",1174,168,706,162,468,113
14000US24003706103,"Census Tract 7061.03, Anne Arundel, MD",788,104,290,109,498,115
14000US24003706302,"Census Tract 7063.02, Anne Arundel, MD",1954,216,1165,201,789,147
14000US24003706303,"Census Tract 7063.03, Anne Arundel, MD",1357,254,935,216,422,179
14000US24003706304,"Census Tract 7063.04, Anne Arundel, MD",1396,194,743,159,653,212
14000US24003706402,"Census Tract 7064.02, Anne Arundel, MD",1719,253,1064,202,655,194
14000US24003706403,"Census Tract 7064.03, Anne Arundel, MD",1460,176,1070,186,390,153
14000US24003706404,"Census Tract 7064.04, Anne Arundel, MD",1064,220,589,213,475,105
14000US24003706500,"Census Tract 7065, Anne Arundel, MD",2321,268,1425,253,896,202
14000US24003706600,"Census Tract 7066, Anne Arundel, MD",2297,266,1503,244,794,206
14000US24003706700,"Census Tract 7067, Anne Arundel, MD",187,73,0,14,187,73
14000US24003707001,"Census Tract 7070.01, Anne Arundel, MD",2162,245,1904,240,258,113
14000US24003707002,"Census Tract 7070.02, Anne Arundel, MD",1782,163,1645,161,137,77
14000US24003708001,"Census Tract 7080.01, Anne Arundel, MD",1420,181,1360,175,60,44
14000US24003708004,"Census Tract 7080.04, Anne Arundel, MD",2060,192,2025,188,35,41
14000US24003730101,"Census Tract 7301.01, Anne Arundel, MD",844,114,844,114,0,14
14000US24003730102,"Census Tract 7301.02, Anne Arundel, MD",4583,344,3538,309,1045,344
14000US24003730204,"Census Tract 7302.04, Anne Arundel, MD",2758,367,2500,368,258,131
14000US24003730205,"Census Tract 7302.05, Anne Arundel, MD",1218,195,139,87,1079,202
14000US24003730206,"Census Tract 7302.06, Anne Arundel, MD",1593,225,973,225,620,170
14000US24003730300,"Census Tract 7303, Anne Arundel, MD",1215,188,1115,204,100,75
14000US24003730401,"Census Tract 7304.01, Anne Arundel, MD",2218,324,1807,332,411,123
14000US24003730403,"Census Tract 7304.03, Anne Arundel, MD",1631,210,595,168,1036,204
14000US24003730404,"Census Tract 7304.04, Anne Arundel, MD",801,119,433,83,368,146
14000US24003730507,"Census Tract 7305.07, Anne Arundel, MD",1587,288,1554,286,33,32
14000US24003730508,"Census Tract 7305.08, Anne Arundel, MD",953,173,276,134,677,184
14000US24003730509,"Census Tract 7305.09, Anne Arundel, MD",1898,157,1399,213,499,154
14000US24003730510,"Census Tract 7305.10, Anne Arundel, MD",1187,150,1000,151,187,166
14000US24003730511,"Census Tract 7305.11, Anne Arundel, MD",775,70,17,18,758,75
14000US24003730512,"Census Tract 7305.12, Anne Arundel, MD",990,142,271,126,719,129
14000US24003730513,"Census Tract 7305.13, Anne Arundel, MD",687,80,460,92,227,95
14000US24003730514,"Census Tract 7305.14, Anne Arundel, MD",1396,281,21,25,1375,282
14000US24003730601,"Census Tract 7306.01, Anne Arundel, MD",2351,268,2219,233,132,121
14000US24003730603,"Census Tract 7306.03, Anne Arundel, MD",993,131,906,139,87,70
14000US24003730605,"Census Tract 7306.05, Anne Arundel, MD",1101,325,851,296,250,157
14000US24003730606,"Census Tract 7306.06, Anne Arundel, MD",1674,172,1549,171,125,54
14000US24003730701,"Census Tract 7307.01, Anne Arundel, MD",1022,168,844,179,178,110
14000US24003730702,"Census Tract 7307.02, Anne Arundel, MD",1506,164,1390,179,116,94
14000US24003730800,"Census Tract 7308, Anne Arundel, MD",910,108,841,104,69,39
14000US24003730901,"Census Tract 7309.01, Anne Arundel, MD",992,202,675,71,317,195
14000US24003730902,"Census Tract 7309.02, Anne Arundel, MD",1266,124,1243,121,23,27
14000US24003731002,"Census Tract 7310.02, Anne Arundel, MD",1343,182,1221,200,122,59
14000US24003731003,"Census Tract 7310.03, Anne Arundel, MD",1659,188,1494,189,165,108
14000US24003731004,"Census Tract 7310.04, Anne Arundel, MD",1586,188,1387,188,199,81
14000US24003731103,"Census Tract 7311.03, Anne Arundel, MD",1968,287,1811,283,157,68
14000US24003731104,"Census Tract 7311.04, Anne Arundel, MD",1719,316,1501,297,218,140
14000US24003731105,"Census Tract 7311.05, Anne Arundel, MD",1116,103,1027,105,89,49
14000US24003731106,"Census Tract 7311.06, Anne Arundel, MD",1730,179,1059,180,671,158
14000US24003731107,"Census Tract 7311.07, Anne Arundel, MD",1235,180,1169,183,66,55
14000US24003731201,"Census Tract 7312.01, Anne Arundel, MD",2245,224,2003,245,242,138
14000US24003731205,"Census Tract 7312.05, Anne Arundel, MD",1696,209,1571,216,125,68
14000US24003731206,"Census Tract 7312.06, Anne Arundel, MD",1332,294,1185,315,147,88
14000US24003731207,"Census Tract 7312.07, Anne Arundel, MD",1088,112,974,115,114,54
14000US24003731208,"Census Tract 7312.08, Anne Arundel, MD",1511,353,1442,360,69,69
14000US24003731209,"Census Tract 7312.09, Anne Arundel, MD",2181,184,1095,172,1086,199
14000US24003731210,"Census Tract 7312.10, Anne Arundel, MD",804,137,775,138,29,26
14000US24003731303,"Census Tract 7313.03, Anne Arundel, MD",2435,277,2295,278,140,122
14000US24003731306,"Census Tract 7313.06, Anne Arundel, MD",2198,267,2167,264,31,34
14000US24003731307,"Census Tract 7313.07, Anne Arundel, MD",2260,171,2051,193,209,102
14000US24003731308,"Census Tract 7313.08, Anne Arundel, MD",1491,246,1295,255,196,80
14000US24003731309,"Census Tract 7313.09, Anne Arundel, MD",1979,156,1608,162,371,180
14000US24003731310,"Census Tract 7313.10, Anne Arundel, MD",1842,237,1674,223,168,81
14000US24003731312,"Census Tract 7313.12, Anne Arundel, MD",1495,187,1366,206,129,119
14000US24003731313,"Census Tract 7313.13, Anne Arundel, MD",1379,425,1143,449,236,110
14000US24003740103,"Census Tract 7401.03, Anne Arundel, MD",3368,336,3119,369,249,138
14000US24003740104,"Census Tract 7401.04, Anne Arundel, MD",3049,282,2235,327,814,247
14000US24003740105,"Census Tract 7401.05, Anne Arundel, MD",1593,260,716,260,877,206
14000US24003740106,"Census Tract 7401.06, Anne Arundel, MD",1302,183,744,155,558,209
14000US24003740107,"Census Tract 7401.07, Anne Arundel, MD",1614,166,785,184,829,147
14000US24003740108,"Census Tract 7401.08, Anne Arundel, MD",2620,295,1485,213,1135,311
14000US24003740203,"Census Tract 7402.03, Anne Arundel, MD",1928,209,1830,225,98,81
14000US24003740204,"Census Tract 7402.04, Anne Arundel, MD",1779,366,875,312,904,243
14000US24003740205,"Census Tract 7402.05, Anne Arundel, MD",1236,232,880,231,356,143
14000US24003740303,"Census Tract 7403.03, Anne Arundel, MD",1738,201,1618,219,120,77
14000US24003740304,"Census Tract 7403.04, Anne Arundel, MD",3294,376,1237,271,2057,335
14000US24003740305,"Census Tract 7403.05, Anne Arundel, MD",4577,571,2588,526,1989,695
14000US24003740400,"Census Tract 7404, Anne Arundel, MD",0,14,0,14,0,14
14000US24003740501,"Census Tract 7405.01, Anne Arundel, MD",2466,228,1239,263,1227,305
14000US24003740502,"Census Tract 7405.02, Anne Arundel, MD",2000,323,1210,265,790,299
14000US24003740601,"Census Tract 7406.01, Anne Arundel, MD",1948,197,704,147,1244,182
14000US24003740602,"Census Tract 7406.02, Anne Arundel, MD",1047,143,0,14,1047,143
14000US24003740603,"Census Tract 7406.03, Anne Arundel, MD",863,119,0,14,863,119
14000US24003740701,"Census Tract 7407.01, Anne Arundel, MD",2950,323,2213,299,737,224
14000US24003740703,"Census Tract 7407.03, Anne Arundel, MD",2022,357,1765,356,257,147
14000US24003740704,"Census Tract 7407.04, Anne Arundel, MD",3136,228,2479,237,657,163
14000US24003740800,"Census Tract 7408, Anne Arundel, MD",1708,200,1555,215,153,94
14000US24003740900,"Census Tract 7409, Anne Arundel, MD",2740,256,1994,253,746,228
14000US24003741000,"Census Tract 7410, Anne Arundel, MD",857,70,789,83,68,46
14000US24003750101,"Census Tract 7501.01, Anne Arundel, MD",1549,225,1215,223,334,113
14000US24003750102,"Census Tract 7501.02, Anne Arundel, MD",966,123,774,123,192,94
14000US24003750201,"Census Tract 7502.01, Anne Arundel, MD",1134,103,931,120,203,85
14000US24003750204,"Census Tract 7502.04, Anne Arundel, MD",1891,182,1709,193,182,100
14000US24003750300,"Census Tract 7503, Anne Arundel, MD",984,130,836,124,148,63
14000US24003750400,"Census Tract 7504, Anne Arundel, MD",1503,142,1389,155,114,68
14000US24003750801,"Census Tract 7508.01, Anne Arundel, MD",1993,205,1816,221,177,131
