OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTArea,ShapeSTLength
1601,24,003,731103,24003731103,7311.03,Census Tract,G5020,S,8562084,0,+39.0343178,-076.4946333,14210319.90625,20290.1708205952
1602,24,003,707001,24003707001,7070.01,Census Tract,G5020,S,27326340,9371758,+38.8202066,-076.5292506,60554172.5976562,42477.5330573364
1603,24,003,740800,24003740800,7408,Census Tract,G5020,S,20233325,25677,+39.0673318,-076.6638310,33647893.71875,25987.0177542666
1604,24,003,702402,24003702402,7024.02,Census Tract,G5020,S,12298630,1106722,+38.9765291,-076.5659981,22214286.7851562,24265.6536785474
1605,24,003,731303,24003731303,7313.03,Census Tract,G5020,S,18296910,19467650,+39.0992681,-076.4535079,62787463.4648438,39959.8798761477
1606,24,003,730603,24003730603,7306.03,Census Tract,G5020,S,6409686,3175,+39.1048810,-076.5850585,10664792.9453125,14996.0718900412
1607,24,003,730601,24003730601,7306.01,Census Tract,G5020,S,8249463,453014,+39.0992558,-076.6125962,14468608.09375,18616.9188798263
1608,24,003,730902,24003730902,7309.02,Census Tract,G5020,S,15485423,4955957,+39.0072068,-076.4432215,33904069.9492188,30470.0491083018
1609,24,003,706600,24003706600,7066,Census Tract,G5020,S,4048672,728010,+38.9882320,-076.5105433,7917338.24609375,15296.1138889957
1610,24,003,706500,24003706500,7065,Census Tract,G5020,S,2882684,54878,+38.9729760,-076.5223790,4867314.5546875,14013.2654914474
1611,24,003,741000,24003741000,7410,Census Tract,G5020,S,15957925,0,+39.0962163,-076.6543558,26531160.5234375,27698.8749043775
1612,24,003,702500,24003702500,7025,Census Tract,G5020,S,7344772,2848979,+38.9622200,-076.5264133,16882001.6132812,17254.0537143604
1613,24,003,707002,24003707002,7070.02,Census Tract,G5020,S,10955645,3896639,+38.7860912,-076.5407083,24483422.734375,24701.6715992988
1614,24,003,740203,24003740203,7402.03,Census Tract,G5020,S,9296447,0,+39.1210437,-076.6670415,15466798.9296875,19408.8345691488
1615,24,003,701400,24003701400,7014,Census Tract,G5020,S,55165320,7822908,+38.8723250,-076.5724290,104062564.988281,47733.6044730193
1616,24,003,751102,24003751102,7511.02,Census Tract,G5020,S,8405793,951838,+39.1925013,-076.5947761,15600237.53125,17161.5872352819
1617,24,005,430400,24005430400,4304,Census Tract,G5020,S,7200660,1892,+39.2463617,-076.6781780,12025906.8085938,14631.6661556363
1618,24,003,731307,24003731307,7313.07,Census Tract,G5020,S,6270103,25298,+39.1270648,-076.5071026,10475371.8320312,16845.6725657041
1619,24,003,750804,24003750804,7508.04,Census Tract,G5020,S,3134528,21763,+39.1815368,-076.6226780,5260494.12109375,13418.3994610092
1620,24,003,701101,24003701101,7011.01,Census Tract,G5020,S,7328681,1191220,+38.9420308,-076.5686167,14103203.1875,15715.5997179591
1621,24,005,491202,24005491202,4912.02,Census Tract,G5020,S,762748,0,+39.3902908,-076.5756967,1278705.75,5141.31243307024
1622,24,005,491300,24005491300,4913,Census Tract,G5020,S,1913685,0,+39.3834398,-076.5853967,3207581.078125,8433.12888900617
