ShapeSTArea,ShapeSTLength,OBJECTID_left,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,index_right,OBJECTID_right,GIS_ID,NAME,WEB_URL,ADDRESS,MetroLine
3741338.22265625,12628.743077444033,1667,24,031,701219,24031701219,7012.19,Census Tract,G5020,S,2250969,1538,+39.0593842,-077.1095765,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
3741338.22265625,12628.743077444033,1667,24,031,701219,24031701219,7012.19,Census Tract,G5020,S,2250969,1538,+39.0593842,-077.1095765,38,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
675613.65625,3541.185560480755,1675,24,031,704806,24031704806,7048.06,Census Tract,G5020,S,407573,0,+38.9906261,-077.0980578,42,43,mstn_43,Bethesda,http://www.wmata.com/rail/station_detail.cfm?station_id=12,"7450 WISCONSIN AVENUE, BETHESDA, MD",red
675613.65625,3541.185560480755,1675,24,031,704806,24031704806,7048.06,Census Tract,G5020,S,407573,0,+38.9906261,-077.0980578,41,42,mstn_42,Medical Center,http://www.wmata.com/rail/station_detail.cfm?station_id=13,"8810 ROCKVILLE PIKE, BETHESDA, MD",red
1010245.20703125,5341.325259174336,1676,24,031,704803,24031704803,7048.03,Census Tract,G5020,S,609664,0,+38.9779198,-077.0964429,42,43,mstn_43,Bethesda,http://www.wmata.com/rail/station_detail.cfm?station_id=12,"7450 WISCONSIN AVENUE, BETHESDA, MD",red
512471.765625,3546.349592300936,1690,24,031,704805,24031704805,7048.05,Census Tract,G5020,S,309190,0,+38.9865015,-077.0933803,42,43,mstn_43,Bethesda,http://www.wmata.com/rail/station_detail.cfm?station_id=12,"7450 WISCONSIN AVENUE, BETHESDA, MD",red
1205517.7265625,4834.840226519237,1740,24,031,701218,24031701218,7012.18,Census Tract,G5020,S,725923,0,+39.0556800,-077.1197203,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
1205517.7265625,4834.840226519237,1740,24,031,701218,24031701218,7012.18,Census Tract,G5020,S,725923,0,+39.0556800,-077.1197203,38,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
376098.1796875,2795.903970443368,1758,24,031,705602,24031705602,7056.02,Census Tract,G5020,S,227053,0,+38.9644227,-077.0907661,35,36,mstn_36,Friendship Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=11,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red
570966.0,4169.555356622861,1812,24,031,704804,24031704804,7048.04,Census Tract,G5020,S,344517,0,+38.9834063,-077.0935260,42,43,mstn_43,Bethesda,http://www.wmata.com/rail/station_detail.cfm?station_id=12,"7450 WISCONSIN AVENUE, BETHESDA, MD",red
552377.51171875,3979.0786608190315,1936,24,031,702501,24031702501,7025.01,Census Tract,G5020,S,333229,0,+38.9908535,-077.0286300,8,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
