GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%
24031007004,123173.0,183672.0,1328.0,1530.0,600200.0,811800.0,49.1170954673508,15.210843373493976,35.25491502832389
24031007005,104648.0,197727.0,1637.0,1934.0,455100.0,700200.0,88.94484366638636,18.142944410507024,53.85629531970996
24031007018,63355.0,100114.0,1058.0,1449.0,569600.0,857800.0,58.020677136769,36.95652173913043,50.59691011235955
24031007019,55833.0,57283.0,1208.0,1447.0,388700.0,597900.0,2.5970304300324183,19.784768211920532,53.82042706457422
24031007020,47904.0,67902.0,1208.0,1629.0,255400.0,386100.0,41.74599198396793,34.85099337748344,51.17462803445576
24031007022,130893.0,198906.0,1290.0,2013.0,437300.0,599500.0,51.960761843643276,56.04651162790698,37.09124171049623
24031007025,64977.0,,1533.0,,249200.0,,,,
24031007027,94167.0,131076.0,1373.0,1892.0,608000.0,857700.0,39.195259485807135,37.80043699927167,41.06907894736842
24031007028,96181.0,148911.0,1733.0,2003.0,539200.0,707500.0,54.823717782098335,15.579919215233698,31.212908011869434
24031007029,110956.0,154312.0,1376.0,1562.0,634700.0,859000.0,39.074948628285085,13.517441860465116,35.339530486844176
24031007030,109722.0,168750.0,1900.0,2421.0,415500.0,600900.0,53.797779843604744,27.421052631578945,44.62093862815885
24031007031,105089.0,172105.0,1924.0,2149.0,382500.0,553000.0,63.77070863744064,11.694386694386695,44.575163398692816
24031007038,66174.0,79806.0,1492.0,2023.0,404100.0,608400.0,20.600235742134373,35.58981233243968,50.55679287305123
24031007040,75912.0,140781.0,1221.0,1549.0,371200.0,559900.0,85.45289282326904,26.863226863226863,50.835129310344826
24031007041,161200.0,210329.0,2000.0,3500.0,757000.0,1052800.0,30.477047146401986,75.0,39.075297225891674
24031007042,106000.0,149698.0,1379.0,2105.0,643200.0,919400.0,41.22452830188679,52.64684554024656,42.941542288557216
24031007043,137500.0,206985.0,2000.0,2801.0,636900.0,901700.0,50.53454545454545,40.050000000000004,41.5763856178364
24031007046,148669.0,204559.0,2000.0,2404.0,718400.0,1116100.0,37.59358036981482,20.200000000000003,55.35913140311804
24031007047,234659.0,250000.0,2000.0,1872.0,1000000.0,1631900.0,6.5375715399792895,-6.4,63.190000000000005
24031007050,131848.0,203203.0,2000.0,3500.0,760400.0,1127600.0,54.11913718827741,75.0,48.290373487638085
24031007051,175662.0,223313.0,2000.0,2423.0,907000.0,1292400.0,27.126527080415798,21.15,42.49173098125689
24031007052,250000.0,250000.0,2000.0,3500.0,969900.0,1366300.0,0.0,75.0,40.87019280338179
24031007053,250000.0,250000.0,2000.0,3500.0,1000000.0,2000000.0,0.0,75.0,100.0
24031007054,250000.0,250000.0,2000.0,3500.0,1000000.0,1678700.0,0.0,75.0,67.86999999999999
24031007058,185500.0,244468.0,2000.0,2986.0,932600.0,1272000.0,31.78867924528302,49.3,36.39288012009436
24031700101,159663.0,191146.0,1417.0,,617600.0,767200.0,19.718406894521586,,24.22279792746114
24031700103,154265.0,198375.0,2000.0,1214.0,617100.0,836700.0,28.59365377759051,-39.300000000000004,35.585804569761784
24031700104,112337.0,116296.0,1676.0,1696.0,332900.0,441500.0,3.5242173104142003,1.1933174224343674,32.622409131871436
24031700105,103480.0,134514.0,1638.0,2481.0,322500.0,438800.0,29.990336296868957,51.46520146520146,36.06201550387597
24031700204,84175.0,118971.0,1676.0,1866.0,398200.0,493700.0,41.33768933768934,11.336515513126491,23.982923154193873
24031700205,149537.0,,1625.0,,497300.0,,,,
24031700206,125593.0,177708.0,1769.0,,441100.0,566500.0,41.49514702252514,,28.428927680798004
24031700207,84531.0,130044.0,1544.0,1654.0,304700.0,425100.0,53.841785853710476,7.124352331606218,39.514276337381034
