X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,ADDRESS,MetroLine
-8563599.1961,4718609.2499,1,mstn_1,College Park-U of Md,http://www.wmata.com/rail/station_detail.cfm?station_id=79,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow"
-8561782.8132,4705848.6215,2,mstn_2,Capitol Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=91,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, orange, silver"
-8556914.4422,4706473.4968,3,mstn_3,Morgan Boulevard,http://www.wmata.com/rail/station_detail.cfm?station_id=110,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, orange, silver"
-8574211.9364,4712711.3473,4,mstn_4,Georgia Ave Petworth,http://www.wmata.com/rail/station_detail.cfm?station_id=76,"3700 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow"
-8573623.7012,4718243.3717,5,mstn_5,Takoma,http://www.wmata.com/rail/station_detail.cfm?station_id=29,"327 CEDAR STREET NW, WASHINGTON, DC",red
-8577562.2548,4730523.1928,6,mstn_6,Glenmont,http://www.wmata.com/rail/station_detail.cfm?station_id=34,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red
-8577178.169,4727046.2004,7,mstn_7,Wheaton,http://www.wmata.com/rail/station_detail.cfm?station_id=33,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
-8576377.7272,4723811.6326,8,mstn_8,Forest Glen,http://www.wmata.com/rail/station_detail.cfm?station_id=32,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red
-8575053.168,4720802.6733,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
-8570991.8419,4712106.8994,10,mstn_10,Brookland-CUA,http://www.wmata.com/rail/station_detail.cfm?station_id=27,"801 MICHIGAN AVENUE NE, WASHINGTON, DC",red
-8571845.5272,4714774.1477,11,mstn_11,Fort Totten,http://www.wmata.com/rail/station_detail.cfm?station_id=28,"550 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow"
-8566689.0368,4716712.3124,12,mstn_12,Prince George's Plaza,http://www.wmata.com/rail/station_detail.cfm?station_id=78,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow"
-8568213.575,4715231.274,13,mstn_13,West Hyattsville,http://www.wmata.com/rail/station_detail.cfm?station_id=77,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow"
-8564739.0957,4706064.5556,14,mstn_14,Benning Road,http://www.wmata.com/rail/station_detail.cfm?station_id=90,"4500 BENNING ROAD NE, WASHINGTON, DC","blue, orange, silver"
-8559812.4366,4705459.8999,15,mstn_15,Addison Road Seat Pleasant,http://www.wmata.com/rail/station_detail.cfm?station_id=92,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, orange, silver"
-8564393.105,4708525.2219,16,mstn_16,Deanwood,http://www.wmata.com/rail/station_detail.cfm?station_id=65,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange
-8557333.7283,4714192.7248,17,mstn_17,New Carrollton,http://www.wmata.com/rail/station_detail.cfm?station_id=68,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange
-8559488.5028,4712149.1496,18,mstn_18,Landover,http://www.wmata.com/rail/station_detail.cfm?station_id=67,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange
-8562319.3645,4709734.5961,19,mstn_19,Cheverly,http://www.wmata.com/rail/station_detail.cfm?station_id=66,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange
-8554015.9907,4708080.3713,20,mstn_20,Largo Town Center,http://www.wmata.com/rail/station_detail.cfm?station_id=109," LARGO TOWN CENTER, 9000 LOTTSFORD ROAD, LARGO, MD","blue, orange, silver"
-8571936.5169,4708358.9524,21,mstn_21,NoMa - Gallaudet U,http://www.wmata.com/rail/station_detail.cfm?station_id=108,"200 FLORIDA AVENUE NE, WASHINGTON, DC",red
-8579493.7966,4706780.1776,22,mstn_22,Rosslyn,http://www.wmata.com/rail/station_detail.cfm?station_id=41,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver"
-8578592.2702,4705165.1626,23,mstn_23,Arlington|Cemetery,http://www.wmata.com/rail/station_detail.cfm?station_id=42,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue
-8576433.1439,4708728.3016,24,mstn_24,Dupont Circle,http://www.wmata.com/rail/station_detail.cfm?station_id=6,"1525 20TH STREET NW, WASHINGTON, DC",red
-8577579.8808,4702988.2112,25,mstn_25,Pentagon,http://www.wmata.com/rail/station_detail.cfm?station_id=43,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow"
-8577198.5158,4701335.7521,26,mstn_26,Crystal City,http://www.wmata.com/rail/station_detail.cfm?station_id=45,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow"
-8572166.4148,4703991.7339,27,mstn_27,Navy Yard - Ballpark,http://www.wmata.com/rail/station_detail.cfm?station_id=84,"200 M STREET SE, WASHINGTON, DC",green
-8575344.4192,4707545.9527,28,mstn_28,McPherson Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=36,"1400 I STREET NW, WASHINGTON, DC","blue, orange, silver"
-8574039.4804,4709283.2147,29,mstn_29,Shaw-Howard Univ,http://www.wmata.com/rail/station_detail.cfm?station_id=72,"1701 8TH STREET NW, WASHINGTON, DC","green, yellow"
-8568823.3246,4698931.7465,30,mstn_30,Southern Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=107,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green
-8561699.2617,4723266.0083,31,mstn_31,Greenbelt,http://www.wmata.com/rail/station_detail.cfm?station_id=80,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow"
-8580459.897,4714345.3938,32,mstn_32,Tenleytown-AU,http://www.wmata.com/rail/station_detail.cfm?station_id=10,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red
-8592650.2089,4707466.9603,33,mstn_33,West Falls Church VT/UVA,http://www.wmata.com/rail/station_detail.cfm?station_id=101,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange
-8596887.6776,4705013.3302,34,mstn_34,Dunn Loring Merrifield,http://www.wmata.com/rail/station_detail.cfm?station_id=102,"2700 GALLOWS ROAD, VIENNA, VA",orange
-8601948.4349,4704151.8947,35,mstn_35,Vienna Fairfax-GMU,http://www.wmata.com/rail/station_detail.cfm?station_id=103,"2900 NUTLEY ST., FAIRFAX, VA",orange
-8581061.9658,4715867.413,36,mstn_36,Friendship Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=11,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red
-8589926.4993,4738862.4745,37,mstn_37,Shady Grove,http://www.wmata.com/rail/station_detail.cfm?station_id=18,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red
-8587866.8684,4733754.8836,38,mstn_38,Rockville,http://www.wmata.com/rail/station_detail.cfm?station_id=17,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
-8585049.665,4730621.2403,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
-8584160.4352,4728568.9499,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
-8583160.7716,4725862.7276,41,mstn_41,Grosvenor-Strathmore,http://www.wmata.com/rail/station_detail.cfm?station_id=14,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
